,exam_code,slot_index,day,type,duration,total_students,rooms,rooms_capacity,special_requirement
0,AA2016E1,3,Wednesday,Evening,01:30,20,['Kelvin Gallery'],[230],False
1,AA3008E1,16,Tuesday,Morning,03:00,31,['Hunter West'],[195],False
2,AAA011E1,21,Wednesday,Evening,01:30,14,['Gilbert Scott Conf Suite Rm 253'],[40],False
3,AAA013E1,7,Friday,Morning,02:00,55,['St Andrews Gym Hall'],[110],False
4,AAA022E1,15,Monday,Evening,01:30,28,['Fore'],[64],False
5,AAA024E1,18,Tuesday,Evening,01:30,31,['John McIntyre Rm 201'],[100],False
6,AAA033E1,27,Friday,Evening,01:30,12,['Kelvin Hall'],[500],False
7,AAA034E1,9,Friday,Evening,01:30,26,['James Watt Design Studio A'],[54],False
8,AAB025E1,26,Friday,Afternoon,03:00,15,['Kelvin Hall'],[500],False
9,AAB058E1,24,Thursday,Evening,01:00,7,['Rankine 601'],[37],False
10,B11101E1,22,Thursday,Morning,03:00,27,['Kelvin Hall'],[500],False
11,B11102E1,11,Saturday,Afternoon,02:00,110,['Kelvin Hall'],[500],False
12,B12301E1,19,Wednesday,Morning,02:00,16,['Rankine 629'],[53],False
13,B12302E1,26,Friday,Afternoon,02:00,16,['Kelvin Hall'],[500],False
14,B12303E1,1,Wednesday,Morning,02:00,16,['Kelvin Blg Rm 220'],[50],False
15,B12320E1,22,Thursday,Morning,02:00,6,['Randolph'],[85],False
16,B13103E1,13,Monday,Morning,02:00,8,['St Andrews Rm 237'],[30],False
17,B31101E1,25,Friday,Morning,02:00,107,['Kelvin Gallery'],[230],False
18,B31103E1,8,Friday,Afternoon,02:00,107,['Bute'],[230],False
19,B31105E1,3,Wednesday,Evening,01:00,107,['OTC'],[110],False
20,B31107E1,22,Thursday,Morning,02:00,108,['OTC'],[110],False
21,B32321E1,18,Tuesday,Evening,01:00,119,['Hunter West'],[195],False
22,B32322E1,21,Wednesday,Evening,01:00,110,['Kelvin Gallery'],[230],False
23,B32325E1,1,Wednesday,Morning,02:00,110,['Kelvin Gallery'],[230],False
24,B32326E1,24,Thursday,Evening,01:00,110,['OTC'],[110],False
25,B32327E1,4,Thursday,Morning,02:00,110,['Kelvin Gallery'],[230],False
26,B33541E1,21,Wednesday,Evening,01:00,93,['Hunter West'],[195],False
27,B33544E1,15,Monday,Evening,01:00,93,['John McIntyre Rm 201'],[100],False
28,B33545E1,10,Saturday,Morning,02:00,93,['Hunter East'],[195],False
29,B33548E1,24,Thursday,Evening,01:00,93,['John McIntyre Rm 201'],[100],False
30,B33549E1,1,Wednesday,Morning,02:00,93,['Kelvin Hall'],[500],False
31,B33563E1,27,Friday,Evening,01:00,18,['Kelvin Hall'],[500],False
32,C11101E1,2,Wednesday,Afternoon,02:00,145,['Kelvin Hall'],[500],False
33,C11105E1,26,Friday,Afternoon,02:00,163,['Kelvin Gallery'],[230],False
34,C12321E1,14,Monday,Afternoon,02:00,68,['Kelvin Hall'],[500],False
35,C12324E1,7,Friday,Morning,02:00,63,['Senate'],[80],False
36,C12325E1,15,Monday,Evening,01:30,62,['Hunter East'],[195],False
37,C12327E1,4,Thursday,Morning,02:00,58,['Hunter West'],[195],False
38,C12328E1,21,Wednesday,Evening,01:30,32,['James Watt Design Studio B'],[69],False
39,C12329E1,18,Tuesday,Evening,01:30,11,['Gilbert Scott Conf Suite Rm 251'],[15],False
40,C12331E1,27,Friday,Evening,01:30,14,['Kelvin Hall'],[500],False
41,C12332E1,1,Wednesday,Morning,03:00,48,['Kelvin Gallery'],[230],False
42,C12333E1,18,Tuesday,Evening,01:30,15,['Bute'],[230],False
43,C12338E1,10,Saturday,Morning,02:00,57,['Senate'],[80],False
44,C13562E1,7,Friday,Morning,03:00,33,['James Watt Design Studio A'],[54],False
45,C13563E1,1,Wednesday,Morning,03:00,7,['59 Oakfield Ave Rm 302 (no lift)'],[10],False
46,C13564E1,25,Friday,Morning,03:00,39,['John McIntyre Rm 201'],[100],False
47,C13565E1,22,Thursday,Morning,03:00,19,['St Andrews Rm 237'],[30],False
48,C13567E1,4,Thursday,Morning,03:00,17,['Joseph Black A504'],[25],False
49,C13569E1,16,Tuesday,Morning,03:00,19,['Gilbert Scott Conf Suite Rm 356'],[40],False
50,C13571E1,18,Tuesday,Evening,01:30,8,['Gilbert Scott Conf Suite Rm 253'],[40],False
51,C13572E1,9,Friday,Evening,01:30,7,['Rankine 630'],[55],False
52,C13573E1,13,Monday,Morning,03:00,20,['Rankine 601'],[37],False
53,C1P001E1,19,Wednesday,Morning,02:00,6,['Sir Charles Wilson'],[60],False
54,C41101E1,20,Wednesday,Afternoon,02:00,102,['Hunter West'],[195],False
55,C42304E1,4,Thursday,Morning,02:00,63,['John McIntyre Rm 201'],[100],False
56,C42306E1,25,Friday,Morning,02:00,62,['Hunter West'],[195],False
57,C42307E1,22,Thursday,Morning,02:00,37,['Kelvin Hall'],[500],False
58,C43511E1,1,Wednesday,Morning,03:00,38,['Rankine 629'],[53],False
59,C43512E1,14,Monday,Afternoon,03:00,24,['Kelvin Blg Rm 323/324'],[50],False
60,C52303E1,10,Saturday,Morning,02:00,12,['Kelvin Gallery'],[230],False
61,C71101E1,7,Friday,Morning,02:00,205,['Kelvin Hall'],[500],False
62,C72303E1,11,Saturday,Afternoon,03:00,50,['St Andrews Rm 227 '],[50],False
63,C73507E1,17,Tuesday,Afternoon,03:00,40,['Gilbert Scott Conf Suite Rm 356'],[40],False
64,C81HAAE1,27,Friday,Evening,01:00,23,['Kelvin Hall'],[500],False
65,C81HBAE1,15,Monday,Evening,01:00,121,['Kelvin Gallery'],[230],False
66,C81HCAE1,18,Tuesday,Evening,01:00,126,"['Hunter West', 'Kelvin Hall']","[195, 500]",False
67,C81HDAE1,9,Friday,Evening,01:00,121,['Hunter West'],[195],False
68,C81IAAE1,24,Thursday,Evening,01:00,67,['Senate'],[80],False
69,C81IBAE1,18,Tuesday,Evening,01:00,25,['Adam Smith 915'],[26],False
70,C81ICAE1,21,Wednesday,Evening,01:00,50,['Kelvin Hall'],[500],False
71,C81IDAE1,9,Friday,Evening,01:00,54,['Randolph'],[85],False
72,C81J1AE1,27,Friday,Evening,01:00,1,['Kelvin Hall'],[500],False
73,C81J1AE2,9,Friday,Evening,01:00,1,['59 Oakfield Ave Rm 302 (no lift)'],[10],False
74,C81J2AE1,18,Tuesday,Evening,01:00,18,['Gilbert Scott Conf Suite Rm 356'],[40],False
75,C81J2AE2,3,Wednesday,Evening,01:00,18,['Joseph Black A504'],[25],False
76,C81J3AE1,18,Tuesday,Evening,01:00,6,['John McIntyre Rm 201'],[100],False
77,C81J3AE2,27,Friday,Evening,01:00,6,['Kelvin Hall'],[500],False
78,C81J4AE1,27,Friday,Evening,01:00,9,['Kelvin Hall'],[500],False
79,C81J4AE2,9,Friday,Evening,01:00,9,['59 Oakfield Ave Rm 302 (no lift)'],[10],False
80,C81J5AE1,21,Wednesday,Evening,01:00,13,['Kelvin Gallery'],[230],False
81,C81J5AE2,27,Friday,Evening,01:00,13,['Kelvin Hall'],[500],False
82,C81JIAE1,24,Thursday,Evening,01:00,1,['Kelvin Gallery'],[230],False
83,C81JIAE2,3,Wednesday,Evening,01:00,1,['Gilbert Scott Conf Suite Rm 250'],[40],False
84,C81MJAE1,24,Thursday,Evening,01:00,6,['Rankine 601'],[37],False
85,C81MSAE1,3,Wednesday,Evening,01:00,113,['Bute'],[230],False
86,C82BCSE1,9,Friday,Evening,01:00,4,['Gilbert Scott Conf Suite Rm 356'],[40],False
87,C82BUAE1,22,Thursday,Morning,02:00,97,['Hunter West'],[195],False
88,C82CUAE1,25,Friday,Morning,02:00,95,['Kelvin Hall'],[500],False
89,C82DUAE1,6,Thursday,Evening,01:00,12,['Joseph Black C407 (no lift)'],[25],False
90,C82HUAE1,15,Monday,Evening,01:00,12,['Gilbert Scott Conf Suite Rm 253'],[40],False
91,C82MCPE1,18,Tuesday,Evening,01:00,11,"['Gilbert Scott Conf Suite Rm 251', 'Joseph Black A504']","[15, 25]",False
92,C82MHAE1,1,Wednesday,Morning,02:00,75,['St Andrews Gym Hall'],[110],False
93,C82MJAE1,2,Wednesday,Afternoon,02:00,42,['John McIntyre Rm 201'],[100],False
94,C82OUAE1,9,Friday,Evening,01:00,3,['Gilbert Scott Conf Suite Rm 251'],[15],False
95,C82SUAE1,27,Friday,Evening,01:00,16,['Kelvin Hall'],[500],False
96,C83XWHE1,7,Friday,Morning,02:00,20,['Gilbert Scott Conf Suite Rm 253'],[40],False
97,C8COUAE1,10,Saturday,Morning,02:00,37,['Randolph'],[85],False
98,C8CXCEE1,17,Tuesday,Afternoon,02:00,16,['Kelvin Blg Rm 323/324'],[50],False
99,C8CXCHE1,19,Wednesday,Morning,02:00,20,['Hunter East'],[195],False
100,C8CXDLE1,26,Friday,Afternoon,02:00,5,['Sir Charles Wilson'],[60],False
101,C8CXESE1,14,Monday,Afternoon,02:00,11,['Kelvin Blg Rm 323/324'],[50],False
102,C8CXPAE1,24,Thursday,Evening,01:30,19,['St Andrews Rm 234'],[40],False
103,C8P001E1,13,Monday,Morning,03:00,22,['John McIntyre Rm 208'],[40],False
104,C8P002E1,23,Thursday,Afternoon,03:00,22,['Kelvin Hall'],[500],False
105,D21102E1,27,Friday,Evening,01:00,1,['Kelvin Hall'],[500],False
106,D22227E1,23,Thursday,Afternoon,02:00,1,['Kelvin Hall'],[500],False
107,D23315E1,20,Wednesday,Afternoon,02:00,4,['Adam Smith 915'],[26],False
108,D23336E1,26,Friday,Afternoon,02:00,7,['WILTF'],[60],False
109,D23342E1,23,Thursday,Afternoon,02:00,1,['Kelvin Gallery'],[230],False
110,D23360E1,13,Monday,Morning,02:00,8,['St Andrews Rm 237'],[30],False
111,EN00C1E1,23,Thursday,Afternoon,02:00,18,['Joseph Black C407 (no lift)'],[25],False
112,EN00P1E1,8,Friday,Afternoon,02:00,21,['James Watt Design Studio A'],[54],False
113,EN00P3E1,1,Wednesday,Morning,02:00,25,['Kelvin Hall'],[500],False
114,EN00P5E1,4,Thursday,Morning,02:00,26,['Kelvin Hall'],[500],False
115,EN00P7E1,13,Monday,Morning,02:00,22,['Kelvin Hall'],[500],False
116,F11I01E1,15,Monday,Evening,01:00,109,['St Andrews Gym Hall'],[110],False
117,F11I02E1,2,Wednesday,Afternoon,02:00,110,['Bute'],[230],False
118,F11O01E1,18,Tuesday,Evening,01:00,108,['Hunter East'],[195],False
119,F11O02E1,14,Monday,Afternoon,02:00,112,['Hunter West'],[195],False
120,F11P01E1,9,Friday,Evening,01:00,88,['Bute'],[230],False
121,F11P02E1,4,Thursday,Morning,02:00,129,['Hunter West'],[195],False
122,F12I01E1,24,Thursday,Evening,01:00,20,['Sir Charles Wilson'],[60],False
123,F12I02E1,14,Monday,Afternoon,02:00,122,"['Hunter West', 'Hunter East']","[195, 195]",False
124,F12O01E1,4,Thursday,Morning,02:00,20,['James Watt Design Studio B'],[69],False
125,F12O02E1,19,Wednesday,Morning,02:00,114,['Kelvin Hall'],[500],False
126,F12P01E1,15,Monday,Evening,01:00,20,['Kelvin Gallery'],[230],False
127,F12P02E1,25,Friday,Morning,02:00,122,['Kelvin Gallery'],[230],False
128,F12P03E1,10,Saturday,Morning,02:00,9,['St Andrews Gym Hall'],[110],False
129,F12X02E1,11,Saturday,Afternoon,02:00,65,['Randolph'],[85],False
130,F12X04E1,3,Wednesday,Evening,01:30,9,['St Andrews Rm 237'],[30],False
131,F12X04E2,24,Thursday,Evening,01:30,9,['Gilbert Scott Conf Suite Rm 253'],[40],False
132,F12X04E3,18,Tuesday,Evening,01:30,9,['Kelvin Hall'],[500],False
133,F12X05E1,16,Tuesday,Morning,02:00,9,['Kelvin Hall'],[500],False
134,F13I01E1,6,Thursday,Evening,01:00,30,['Kelvin Hall'],[500],False
135,F13I02E1,13,Monday,Morning,02:00,103,['OTC'],[110],False
136,F13I03E1,3,Wednesday,Evening,01:00,15,['Fore'],[64],False
137,F13I05E1,9,Friday,Evening,01:00,1,['Adam Smith 915'],[26],False
138,F13I06E1,6,Thursday,Evening,01:00,1,['OTC'],[110],False
139,F13O01E1,10,Saturday,Morning,02:00,29,['Gilbert Scott Conf Suite Rm 250'],[40],False
140,F13O02E1,25,Friday,Morning,02:00,103,['Bute'],[230],False
141,F13O03E1,27,Friday,Evening,01:00,15,['Kelvin Hall'],[500],False
142,F13O06E1,21,Wednesday,Evening,01:00,1,['Gilbert Scott Conf Suite Rm 356'],[40],False
143,F13P01E1,1,Wednesday,Morning,02:00,111,['Bute'],[230],False
144,F13P02E1,7,Friday,Morning,02:00,11,['Rankine 629'],[53],False
145,F13P03E1,24,Thursday,Evening,01:00,44,['St Andrews Rm 227 '],[50],False
146,F13P05E1,9,Friday,Evening,01:00,8,['Kelvin Blg Rm 323/324'],[50],False
147,F13X01E1,1,Wednesday,Morning,02:00,11,['Kelvin Hall'],[500],False
148,F13X03E1,21,Wednesday,Evening,01:00,18,['Randolph'],[85],False
149,F13X04E1,16,Tuesday,Morning,02:00,86,['OTC'],[110],False
150,F311A1E1,9,Friday,Evening,01:00,52,"['James Watt Design Studio A', 'John McIntyre Rm 201']","[54, 100]",False
151,F311B1E1,3,Wednesday,Evening,01:00,43,['St Andrews Rm 227 '],[50],False
152,F311E1E1,24,Thursday,Evening,01:00,106,['Hunter East'],[195],False
153,F311M0E1,6,Thursday,Evening,01:00,103,['OTC'],[110],False
154,F311M1E1,11,Saturday,Afternoon,01:00,161,['Kelvin Hall'],[500],False
155,F311Q1E1,1,Wednesday,Morning,01:00,157,['Kelvin Hall'],[500],False
156,F311T1E1,26,Friday,Afternoon,01:00,175,['Kelvin Hall'],[500],False
157,F311V1E1,15,Monday,Evening,01:00,47,['OTC'],[110],False
158,F311X1E1,6,Thursday,Evening,01:00,37,['Gilbert Scott Conf Suite Rm 250'],[40],False
159,F311X2E1,7,Friday,Morning,01:00,25,['Joseph Black C407 (no lift)'],[25],False
160,F311X4E1,22,Thursday,Morning,01:00,67,['Randolph'],[85],False
161,F311Z1E1,8,Friday,Afternoon,01:00,144,['Kelvin Hall'],[500],False
162,F321C6E1,22,Thursday,Morning,02:00,11,['Gilbert Scott Conf Suite Rm 251'],[15],False
163,F321E4E1,27,Friday,Evening,01:00,13,['Kelvin Hall'],[500],False
164,F321M1E1,5,Thursday,Afternoon,02:00,94,['John McIntyre Rm 201'],[100],False
165,F321Q2E1,19,Wednesday,Morning,02:00,98,['Hunter West'],[195],False
166,F321Q6E1,10,Saturday,Morning,02:00,18,['WILT 112'],[50],False
167,F321Q9E1,26,Friday,Afternoon,02:00,9,['St Andrews Rm 227 '],[50],False
168,F321S6E1,13,Monday,Morning,02:00,18,['James Watt Design Studio A'],[54],False
169,F321T2E1,2,Wednesday,Afternoon,02:00,95,['OTC'],[110],False
170,F321T6E1,7,Friday,Morning,02:00,18,['James Watt Design Studio A'],[54],False
171,F321Z3E1,17,Tuesday,Afternoon,02:00,106,['Bute'],[230],False
172,F331M9E1,22,Thursday,Morning,02:00,8,['59 Oakfield Ave Rm 302 (no lift)'],[10],False
173,F331N3E1,14,Monday,Afternoon,02:00,65,['Kelvin Hall'],[500],False
174,F331N6E1,16,Tuesday,Morning,02:00,22,['James Watt Design Studio B'],[69],False
175,F331O6E1,8,Friday,Afternoon,02:00,26,['OTC'],[110],False
176,F331Q3E1,26,Friday,Afternoon,02:00,82,['Hunter East'],[195],False
177,F331S2E1,4,Thursday,Morning,02:00,82,['Randolph'],[85],False
178,F331S9E1,13,Monday,Morning,02:00,22,"['St Andrews Rm 237', 'Adam Smith 915']","[30, 26]",False
179,F331X3E1,17,Tuesday,Afternoon,02:00,14,['Fore'],[64],False
180,F331X5E1,21,Wednesday,Evening,01:00,5,['Gilbert Scott Conf Suite Rm 251'],[15],False
181,F331Z4E1,11,Saturday,Afternoon,02:00,66,"['Randolph', 'James Watt Design Studio B']","[85, 69]",False
182,F331Z8E1,5,Thursday,Afternoon,02:00,9,['St Andrews Gym Hall'],[110],False
183,F3B1B3E1,25,Friday,Morning,02:00,40,['Kelvin Blg Rm 323/324'],[50],False
184,F3B1X4E1,22,Thursday,Morning,02:00,78,['Senate'],[80],False
185,G111ACE1,26,Friday,Afternoon,02:00,34,['Rankine 629'],[53],False
186,G111CCE1,21,Wednesday,Evening,01:00,59,['Kelvin Gallery'],[230],False
187,G111DGE1,19,Wednesday,Morning,02:00,15,['Gilbert Scott Conf Suite Rm 251'],[15],False
188,G111GAE1,20,Wednesday,Afternoon,02:00,71,['St Andrews Gym Hall'],[110],False
189,G111GBE1,13,Monday,Morning,02:00,222,['Kelvin Hall'],[500],False
190,G111MCE1,27,Friday,Evening,01:30,3,['Kelvin Hall'],[500],False
191,G111VAE1,4,Thursday,Morning,02:00,165,['Kelvin Hall'],[500],False
192,G111VBE1,22,Thursday,Morning,02:00,24,['Kelvin Gallery'],[230],False
193,G11AS1E1,7,Friday,Morning,02:00,69,['James Watt Design Studio B'],[69],False
194,G11MA1E1,13,Monday,Morning,03:00,172,['Kelvin Gallery'],[230],False
195,G11MA2E1,19,Wednesday,Morning,02:00,40,['Sir Charles Wilson'],[60],False
196,G11PR1E1,16,Tuesday,Morning,02:00,165,"['Hunter West', 'Kelvin Hall']","[195, 500]",False
197,G12AL1E1,22,Thursday,Morning,02:00,109,"['OTC', 'St Andrews Gym Hall']","[110, 110]",False
198,G12AN1E1,14,Monday,Afternoon,02:00,103,['OTC'],[110],False
199,G12ME1E1,5,Thursday,Afternoon,02:00,108,['Kelvin Hall'],[500],False
200,G12MM1E1,20,Wednesday,Afternoon,02:00,109,['Kelvin Gallery'],[230],False
201,G12PR1E1,10,Saturday,Morning,02:00,115,['Hunter West'],[195],False
202,G12ST1E1,7,Friday,Morning,02:00,112,['Bute'],[230],False
203,G13AL4E1,2,Wednesday,Afternoon,02:00,11,['Gilbert Scott Conf Suite Rm 251'],[15],False
204,G13AN4E1,23,Thursday,Afternoon,02:00,7,['John McIntyre Rm 208'],[40],False
205,G13AS5E1,13,Monday,Morning,02:00,19,['Senate'],[80],False
206,G13CM2E1,20,Wednesday,Afternoon,02:00,45,['Kelvin Blg Rm 220'],[50],False
207,G13CS2E1,17,Tuesday,Afternoon,02:00,10,['Kelvin Blg Rm 323/324'],[50],False
208,G13LA1E1,13,Monday,Morning,02:00,4,['Joseph Black C407 (no lift)'],[25],False
209,G13LO1E1,7,Friday,Morning,02:00,47,['Kelvin Hall'],[500],False
