,exam_code,slot_index,day,type,duration,total_students,rooms,rooms_capacity,special_requirement
0,AA2016E1,14,Monday,Afternoon,01:30,20,"['Kelvin Blg Rm 323/324', 'Joseph Black A504']","[50, 25]",False
1,AA3008E1,25,Friday,Morning,03:00,31,['WILT 112'],[50],False
2,AAA011E1,18,Tuesday,Evening,01:30,14,['Rankine 629'],[53],False
3,AAA013E1,2,Wednesday,Afternoon,02:00,55,['Sir Charles Wilson'],[60],False
4,AAA022E1,16,Tuesday,Morning,01:30,28,['Hunter East'],[195],False
5,AAA024E1,27,Friday,Evening,01:30,31,['Kelvin Hall'],[500],False
6,AAA033E1,23,Thursday,Afternoon,01:30,12,['James Watt Design Studio A'],[54],False
7,AAA034E1,7,Friday,Morning,01:30,26,['Kelvin Blg Rm 220'],[50],False
8,AAB025E1,7,Friday,Morning,03:00,15,['Rankine 629'],[53],False
9,AAB058E1,6,Thursday,Evening,01:00,7,['Kelvin Blg Rm 323/324'],[50],False
10,B11101E1,17,Tuesday,Afternoon,03:00,27,"['Sir Charles Wilson', 'Rankine 630']","[60, 55]",False
11,B11102E1,14,Monday,Afternoon,02:00,110,['Kelvin Hall'],[500],False
12,B12301E1,8,Friday,Afternoon,02:00,16,['James Watt Design Studio B'],[69],False
13,B12302E1,11,Saturday,Afternoon,02:00,16,['Kelvin Blg Rm 323/324'],[50],False
14,B12303E1,16,Tuesday,Morning,02:00,16,['Gilbert Scott Conf Suite Rm 356'],[40],False
15,B12320E1,20,Wednesday,Afternoon,02:00,6,['Joseph Black A504'],[25],False
16,B13103E1,26,Friday,Afternoon,02:00,8,['Kelvin Blg Rm 323/324'],[50],False
17,B31101E1,23,Thursday,Afternoon,02:00,107,"['OTC', 'Hunter West']","[110, 195]",False
18,B31103E1,7,Friday,Morning,02:00,107,['Kelvin Hall'],[500],False
19,B31105E1,3,Wednesday,Evening,01:00,107,['Kelvin Gallery'],[230],False
20,B31107E1,17,Tuesday,Afternoon,02:00,108,['Kelvin Gallery'],[230],False
21,B32321E1,14,Monday,Afternoon,01:00,119,['Kelvin Gallery'],[230],False
