,exam_code,slot_index,day,type,duration,total_students,rooms,rooms_capacity,special_requirement
0,AA2016E1,1,Wednesday,Morning,01:30,20,['James Watt Design Studio A'],[54],True
1,AA3008E1,14,Monday,Afternoon,03:00,31,['John McIntyre Rm 208'],[40],True
2,AAA011E1,20,Wednesday,Afternoon,01:30,14,['Hunter East'],[195],True
3,AAA013E1,1,Wednesday,Morning,02:00,55,['Rankine 630'],[55],True
4,AAA022E1,19,Wednesday,Morning,01:30,28,['James Watt Design Studio B'],[69],True
5,AAA024E1,24,Thursday,Evening,01:30,31,['Randolph'],[85],True
6,AAA033E1,10,Saturday,Morning,01:30,12,['WILT 112'],[50],True
7,AAA034E1,27,Friday,Evening,01:30,26,"['Gilbert Scott Conf Suite Rm 356', 'Rankine 630']","[40, 55]",True
8,AAB025E1,11,Saturday,Afternoon,03:00,15,['Hunter East'],[195],True
9,AAB058E1,20,Wednesday,Afternoon,01:00,7,['Kelvin Blg Rm 323/324'],[50],True
10,B11101E1,4,Thursday,Morning,03:00,27,['John McIntyre Rm 208'],[40],True
11,B11102E1,14,Monday,Afternoon,02:00,110,['Bute'],[230],True
12,B12301E1,14,Monday,Afternoon,02:00,16,"['John McIntyre Rm 201', 'Joseph Black C407 (no lift)']","[100, 25]",False
13,B12302E1,7,Friday,Morning,02:00,16,['Kelvin Gallery'],[230],False
14,B12303E1,22,Thursday,Morning,02:00,16,['Hunter West'],[195],False
15,B12320E1,11,Saturday,Afternoon,02:00,6,['Fore'],[64],False
16,B13103E1,2,Wednesday,Afternoon,02:00,8,['Sir Charles Wilson'],[60],True
17,B31101E1,17,Tuesday,Afternoon,02:00,107,['Hunter West'],[195],True
18,B31103E1,22,Thursday,Morning,02:00,107,['St Andrews Gym Hall'],[110],True
19,B31105E1,11,Saturday,Afternoon,01:00,107,['Hunter East'],[195],True
20,B31107E1,7,Friday,Morning,02:00,108,"['Kelvin Hall', 'Bute']","[500, 230]",True
21,B32321E1,15,Monday,Evening,01:00,119,"['Kelvin Gallery', 'Hunter West']","[230, 195]",True
22,B32322E1,19,Wednesday,Morning,01:00,110,"['St Andrews Gym Hall', 'Hunter West', 'Hunter East']","[110, 195, 195]",True
23,B32325E1,5,Thursday,Afternoon,02:00,110,['Kelvin Hall'],[500],True
24,B32326E1,11,Saturday,Afternoon,01:00,110,['Kelvin Hall'],[500],True
25,B32327E1,25,Friday,Morning,02:00,110,"['OTC', 'St Andrews Gym Hall', 'Hunter West']","[110, 110, 195]",True
26,B33541E1,7,Friday,Morning,01:00,93,['St Andrews Gym Hall'],[110],True
27,B33544E1,11,Saturday,Afternoon,01:00,93,"['Bute', 'John McIntyre Rm 201', 'Kelvin Hall']","[230, 100, 500]",True
28,B33545E1,2,Wednesday,Afternoon,02:00,93,"['OTC', 'John McIntyre Rm 201']","[110, 100]",True
29,B33548E1,26,Friday,Afternoon,01:00,93,"['John McIntyre Rm 201', 'Kelvin Hall']","[100, 500]",True
30,B33549E1,19,Wednesday,Morning,02:00,93,['St Andrews Gym Hall'],[110],True
31,B33563E1,15,Monday,Evening,01:00,18,['Adam Smith 915'],[26],True
32,C11101E1,8,Friday,Afternoon,02:00,145,"['Hunter East', 'Kelvin Hall']","[195, 500]",True
33,C11105E1,10,Saturday,Morning,02:00,163,['Bute'],[230],True
34,C12321E1,4,Thursday,Morning,02:00,68,['Kelvin Gallery'],[230],True
35,C12324E1,19,Wednesday,Morning,02:00,63,['Senate'],[80],True
36,C12325E1,2,Wednesday,Afternoon,01:30,62,['Fore'],[64],True
37,C12327E1,13,Monday,Morning,02:00,58,"['WILTF', 'Fore', 'Rankine 630', 'Adam Smith 915', 'Rankine 629']","[60, 64, 55, 26, 53]",True
38,C12328E1,16,Tuesday,Morning,01:30,32,"['James Watt Design Studio A', 'Kelvin Blg Rm 220']","[54, 50]",True
39,C12329E1,8,Friday,Afternoon,01:30,11,['St Andrews Rm 227 '],[50],True
40,C12331E1,21,Wednesday,Evening,01:30,14,['Gilbert Scott Conf Suite Rm 356'],[40],True
41,C12332E1,7,Friday,Morning,03:00,48,['Fore'],[64],True
42,C12333E1,5,Thursday,Afternoon,01:30,15,['WILT 112'],[50],True
43,C12338E1,23,Thursday,Afternoon,02:00,57,"['Sir Charles Wilson', 'WILTF']","[60, 60]",True
44,C13562E1,26,Friday,Afternoon,03:00,33,"['Gilbert Scott Conf Suite Rm 253', 'Kelvin Hall']","[40, 500]",True
45,C13563E1,7,Friday,Morning,03:00,7,['Kelvin Blg Rm 323/324'],[50],True
46,C13564E1,20,Wednesday,Afternoon,03:00,39,['Rankine 630'],[55],True
47,C13565E1,23,Thursday,Afternoon,03:00,19,['St Andrews Rm 227 '],[50],True
48,C13567E1,25,Friday,Morning,03:00,17,['Joseph Black A504'],[25],True
49,C13569E1,17,Tuesday,Afternoon,03:00,19,['Kelvin Blg Rm 220'],[50],True
50,C13571E1,26,Friday,Afternoon,01:30,8,['Kelvin Gallery'],[230],True
51,C13572E1,6,Thursday,Evening,01:30,7,['Gilbert Scott Conf Suite Rm 253'],[40],True
