,student_code,exam_code,slot_index,day,type,duration,total_students,rooms,rooms_capacity
0,A890186790,R13001E1,26,Friday,Afternoon,01:30,36,['Randolph'],[85]
1,A890186790,R13006E1,1,Wednesday,Morning,02:00,12,['OTC'],[110]
2,A890186790,R13016E1,17,Tuesday,Afternoon,02:00,19,"['Adam Smith 915', 'Kelvin Hall']","[26, 500]"
3,A890186790,R13021E1,8,Friday,Afternoon,01:30,26,['Sir Charles Wilson'],[60]
4,A890186790,R13022E1,11,Saturday,Afternoon,01:30,19,['Gilbert Scott Conf Suite Rm 250'],[40]
5,A891097581,R23102E1,26,Friday,Afternoon,02:00,18,['Kelvin Hall'],[500]
6,A891097581,R23107E1,11,Saturday,Afternoon,01:30,12,['Gilbert Scott Conf Suite Rm 355 (no lift)'],[30]
7,A891097581,R23111E1,15,Monday,Evening,01:30,22,['Adam Smith 915'],[26]
8,A891097581,R23117E1,4,Thursday,Morning,01:30,24,"['WILT 112', 'Sir Charles Wilson']","[50, 60]"
9,A891097581,R23209E1,18,Tuesday,Evening,01:30,17,['Kelvin Gallery'],[230]
10,A892884191,Q4B102E1,7,Friday,Morning,03:00,22,['John McIntyre Rm 208'],[40]
11,A892884227,AA3008E1,17,Tuesday,Afternoon,03:00,31,['St Andrews Rm 234'],[40]
12,A892884294,V73232E1,7,Friday,Morning,03:00,29,['Sir Charles Wilson'],[60]
13,A892884294,V73MD1E1,13,Monday,Morning,01:30,29,['Hunter East'],[195]
14,A892884308,Q3A308E1,25,Friday,Morning,03:00,26,['St Andrews Rm 237'],[30]
15,A892884308,V62200E1,9,Friday,Evening,01:30,37,"['Senate', 'John McIntyre Rm 201']","[80, 100]"
16,A892884319,V73128E1,19,Wednesday,Morning,01:30,16,['Adam Smith 915'],[26]
17,A892884331,V73232E1,7,Friday,Morning,03:00,29,['Sir Charles Wilson'],[60]
18,A892884331,V73MD1E1,13,Monday,Morning,01:30,29,['Hunter East'],[195]
19,A892956502,V73232E1,7,Friday,Morning,03:00,29,['Sir Charles Wilson'],[60]
20,A892956502,V73MD1E1,13,Monday,Morning,01:30,29,['Hunter East'],[195]
21,A892956513,V73232E1,7,Friday,Morning,03:00,29,['Sir Charles Wilson'],[60]
22,A892956513,V73MD1E1,13,Monday,Morning,01:30,29,['Hunter East'],[195]
23,A892992407,V73232E1,7,Friday,Morning,03:00,29,['Sir Charles Wilson'],[60]
24,A892992407,V73MD1E1,13,Monday,Morning,01:30,29,['Hunter East'],[195]
25,A892992496,V73232E1,7,Friday,Morning,03:00,29,['Sir Charles Wilson'],[60]
26,A892992496,V73MD1E1,13,Monday,Morning,01:30,29,['Hunter East'],[195]
27,A903428732,R13001E1,26,Friday,Afternoon,01:30,36,['Randolph'],[85]
28,A903428732,R13003E1,1,Wednesday,Morning,01:30,28,['Hunter East'],[195]
29,A903428732,R13012E1,14,Monday,Afternoon,01:30,26,['Fore'],[64]
30,A903428732,R13021E1,8,Friday,Afternoon,01:30,26,['Sir Charles Wilson'],[60]
31,A903549679,V73127E1,22,Thursday,Morning,03:00,15,['Hunter East'],[195]
32,A903549679,V73128E1,19,Wednesday,Morning,01:30,16,['Adam Smith 915'],[26]
33,A903549679,V73232E1,7,Friday,Morning,03:00,29,['Sir Charles Wilson'],[60]
34,A903549679,V73MD1E1,13,Monday,Morning,01:30,29,['Hunter East'],[195]
35,A904679991,Q83184E1,25,Friday,Morning,02:00,11,"['St Andrews Rm 237', 'Rankine 630']","[30, 55]"
36,A904679991,Q8B075E1,22,Thursday,Morning,02:00,5,['Gilbert Scott Conf Suite Rm 355 (no lift)'],[30]
37,A904679991,Q8B094E1,1,Wednesday,Morning,02:00,42,['James Watt Design Studio B'],[69]
38,A905851394,AA3008E1,17,Tuesday,Afternoon,03:00,31,['St Andrews Rm 234'],[40]
39,A905851394,Q4B104E1,4,Thursday,Morning,02:00,14,"['John McIntyre Rm 208', 'Fore']","[40, 64]"
40,A905851408,V13119E1,4,Thursday,Morning,02:00,20,['Joseph Black C407 (no lift)'],[25]
41,A905947273,V73232E1,7,Friday,Morning,03:00,29,['Sir Charles Wilson'],[60]
42,A905947273,V73MD1E1,13,Monday,Morning,01:30,29,['Hunter East'],[195]
43,A905947310,V73232E1,7,Friday,Morning,03:00,29,['Sir Charles Wilson'],[60]
44,A905947446,R13009E1,23,Thursday,Afternoon,01:30,6,['Gilbert Scott Conf Suite Rm 356'],[40]
45,A905947446,R23102E1,26,Friday,Afternoon,02:00,18,['Kelvin Hall'],[500]
46,A905947446,R23107E1,11,Saturday,Afternoon,01:30,12,['Gilbert Scott Conf Suite Rm 355 (no lift)'],[30]
47,A905947446,R23111E1,15,Monday,Evening,01:30,22,['Adam Smith 915'],[26]
48,A905947446,R23209E1,18,Tuesday,Evening,01:30,17,['Kelvin Gallery'],[230]
49,A905947480,V72AINE1,10,Saturday,Morning,01:30,33,['WILTF'],[60]
50,A905947480,V73232E1,7,Friday,Morning,03:00,29,['Sir Charles Wilson'],[60]
51,A905947480,V73MD1E1,13,Monday,Morning,01:30,29,['Hunter East'],[195]
